block,arity,internal_nodes,topology,M_anchor,eta_anchor,pattern,scientific_instance_hash,tree_hash,homogeneous_ambient_bound,homogeneous_projected_bound,nodewise_bound,nodewise_projected_bound,path_sum_bound,path_sum_projected_bound,mixed_mask_bound,optimized_order_bound,best_certified_bound,nodewise_over_homogeneous,projected_nodewise_over_homogeneous,seed_count_required,status
D,2,3,comb,0.75,0.0001,two_branches,30aecdc21267eb4e132199b5897bd04d35e0a08b7c333d0214758ae142d94d60,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.00012656250000000002,8.4375e-05,8.44171875e-05,8.4375e-05,8.44171875e-05,8.4375e-05,0.0001266046875,8.44171875e-05,8.44171875e-05,0.6669999999999999,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.01,uniform,29eb76a76b8b7e23e52cb3d609f5a97370b792afbb2bdf6227b72e9fa71e5c57,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.012656249999999999,0.0084375,0.01265625,0.0084375,0.01265625,0.0084375,0.016875,0.01265625,0.01265625,1.0000000000000002,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.01,root,ca9e3aada965322fa241342eccbe5a131012e2b3856c7bfa9aa9b3dd4a6fd746,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.012656249999999999,0.0084375,0.0042271875,8.437500000000002e-06,0.0042271875,8.437500000000002e-06,0.00423140625,0.0042271875,0.0042271875,0.334,0.0010000000000000002,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.01,leaves,f6295e4ee76b9822a722bd13406242e8148659aea042251ee24d75012407bc64,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.012656249999999999,0.0084375,0.0042271875,0.00422296875,0.0042271875,0.00422296875,0.0084459375,0.0042271875,0.0042271875,0.334,0.5005,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.01,deepest_path,992a6d885f20982d58bfa219db50f161d3fdd37cc44955207d6c3c4222c54b38,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.012656249999999999,0.0084375,0.01265625,0.0084375,0.01265625,0.0084375,0.016875,0.01265625,0.01265625,1.0000000000000002,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.01,alternating,8c0a970b51ea1070cff93ede096febdf8d88541a3122d66b42536126eeff1627,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.012656249999999999,0.0084375,0.0063597656249999995,0.003195703125,0.0063597656249999995,0.003195703125,0.009523828125,0.0063597656249999995,0.0063597656249999995,0.5025,0.37875,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.01,random_log_uniform,4a3417e12577e26aa10e4b57d22bda4c9a9d3cfa93e28dc6553bc6c8d552e03e,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.04741586211156341,0.03161057474104227,0.010333657433457369,0.005721711293388573,0.010333657433457369,0.005721711293388573,0.013297148815430081,0.010333657433457369,0.010333657433457369,0.21793671934391082,0.18100624048317812,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.01,one_dominant,eb19696cf2fe4eb2feccb8882f1e06a9233eab95ab0b9f5446ea9fcd5a2b8b33,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.012656249999999999,0.0084375,0.0042271875,0.00422296875,0.0042271875,0.00422296875,0.00423140625,0.0042271875,0.0042271875,0.334,0.5005,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.01,two_branches,74cbbfcc4553fd1d1db5c8d9bb8ce898596ef6d95a10fe5471102c413bdfa0ac,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.012656249999999999,0.0084375,0.00844171875,0.0084375,0.00844171875,0.0084375,0.01266046875,0.00844171875,0.00844171875,0.667,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.1,uniform,0a7abcb7c86e6f97b6a8851b3eeb1777dc4673c216c06af06ecf8f515ce31227,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.12656250000000002,0.084375,0.12656250000000002,0.084375,0.12656250000000002,0.084375,0.16875,0.12656250000000002,0.12656250000000002,1.0,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
