block,dimension,cp_rank_fraction,cp_rank,internal_nodes,topology,eta,scientific_instance_hash,controlled_cp_components,tensor_reconstruction_error,operator_output_error_upper,recursive_representation_budget,closure_budget,interaction_budget,total_theorem_budget,observed_total_error,bound_tightness,seed_count_required,status
H,16,0.1,2,8,balanced,0.01,0be40ecd480f5d6352e169ef89fc115ed317f54524e5737b1b037c7b030fbc17,16,0.9354143466934853,0.9354143466934853,761.2226562850786,0.07,7.050585937171864,768.3432422222505,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,8,balanced,0.1,ca4d4ae0bd5d05de3312e41c3a05c0c1d432c1319a6c895fbc6d77d97178a488,16,0.9354143466934853,0.9354143466934853,761.2226562850786,0.7000000000000001,70.50585937171864,832.4285156567973,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,16,comb,0.001,aca351b30c8444754ffc7cfbdbce46b1f0e46ecd412a859a3501e892fee55a77,16,0.9354143466934853,0.9354143466934853,299732.1642932889,0.015,300.38546426296205,300032.5647575519,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,16,comb,0.01,5639fe96449004a4467982d7c5cd130904494838ed05526aa88d5f200f2793aa,16,0.9354143466934853,0.9354143466934853,299732.1642932889,0.15,3003.8546426296207,302736.16893591854,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,16,comb,0.1,6410064b3aa53052b78f062651244e02f675d8f29c232e2b1a2a050ac10c7c7d,16,0.9354143466934853,0.9354143466934853,299732.1642932889,1.5,30038.546426296205,329772.21071958507,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,16,balanced,0.001,01c4ea69b49bbfa13ee08617fc6830ddaf51655c2d0925f1203b04b8f48bb97f,16,0.9354143466934853,0.9354143466934853,299732.1642932889,0.015,300.38546426296205,300032.5647575519,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,16,balanced,0.01,54c056f9274594fb321910f2d22d1b01c7caac39f70b64e10f7601dd3620a862,16,0.9354143466934853,0.9354143466934853,299732.1642932889,0.15,3003.8546426296207,302736.16893591854,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,16,balanced,0.1,856aa2a3f6eaacb6db2bab66e0a9ba3a7578ea736070240b2961df7a71707ec7,16,0.9354143466934853,0.9354143466934853,299732.1642932889,1.5,30038.546426296205,329772.21071958507,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.2,3,2,comb,0.001,10592b9e025a000ba96b87c6b4aeebe4970b896a98f47c683048af131df959b2,16,0.9013878188659973,0.9013878188659973,3.427775637731995,0.001,0.0009013878188659974,3.429677025550861,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.2,3,2,comb,0.01,bc006e84ff00dfd85444e29c8833479402b0d1a62f68c4a38b5b77e1f924a645,16,0.9013878188659973,0.9013878188659973,3.427775637731995,0.01,0.009013878188659974,3.4467895159206545,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.2,3,2,comb,0.1,a81f25689e1269859f30a3ed39b7e05ea10a3918995a532840d33fdb33740c0a,16,0.9013878188659973,0.9013878188659973,3.427775637731995,0.1,0.09013878188659974,3.617914419618595,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.2,3,2,balanced,0.001,32c3ed2c1981486ea3db8103535764136845d713e4baee0fab731b99787be388,16,0.9013878188659973,0.9013878188659973,3.427775637731995,0.001,0.0009013878188659974,3.429677025550861,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.2,3,2,balanced,0.01,c3cc6c7c1e90149d61a3a5bc720ed808d110154050f574b6d6abe85b79c457da,16,0.9013878188659973,0.9013878188659973,3.427775637731995,0.01,0.009013878188659974,3.4467895159206545,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.2,3,2,balanced,0.1,b4f62ae0d8490142290a67a670c7108618e5dafbf6d76f83ba331ffd7119df1b,16,0.9013878188659973,0.9013878188659973,3.427775637731995,0.1,0.09013878188659974,3.617914419618595,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.2,3,4,comb,0.001,11c04b917cdd8e6d8d300c080d2e8b92833099f2c764cd8d0050fb088ee59c68,16,0.9013878188659973,0.9013878188659973,24.784707509407465,0.003,0.01762212317827985,24.805329632585746,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.2,3,4,comb,0.01,89d16075abb097938e47bdac5d0082ff602f021a53bcef41d9d5be6d20458b8a,16,0.9013878188659973,0.9013878188659973,24.784707509407465,0.03,0.17622123178279847,24.990928741190263,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.2,3,4,comb,0.1,68304b0c07feb566e44e4da939900ce686911165221670d083ac5eabfb04e297,16,0.9013878188659973,0.9013878188659973,24.784707509407465,0.30000000000000004,1.762212317827985,26.84691982723545,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.2,3,4,balanced,0.001,11af03c8d3435befb4b54f1e8ad50ee2e83b618965cfc198fea9727d94ae58a8,16,0.9013878188659973,0.9013878188659973,24.784707509407465,0.003,0.01762212317827985,24.805329632585746,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.2,3,4,balanced,0.01,8184bd608a67038487b9f1de676d1f8415294b74e3b4212598dc882f57dd450f,16,0.9013878188659973,0.9013878188659973,24.784707509407465,0.03,0.17622123178279847,24.990928741190263,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.2,3,4,balanced,0.1,9d19825bd06973e0bbd92c4512c6354baf5ec5553a5900ac341d09a3e1cfd639,16,0.9013878188659973,0.9013878188659973,24.784707509407465,0.30000000000000004,1.762212317827985,26.84691982723545,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.2,3,8,comb,0.001,a9055ab4e379b96e481a0217d9db1bf5cd2408f539eca2c19ae973d678163cdb,16,0.9013878188659973,0.9013878188659973,647.8830572945316,0.007,0.6219165032714866,648.511973797803,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.2,3,8,comb,0.01,31ad00b1f40ff61ba95f168cb14615b512d1b472397375fc15a398bdd818dfbc,16,0.9013878188659973,0.9013878188659973,647.8830572945316,0.07,6.219165032714867,654.1722223272465,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.2,3,8,comb,0.1,8732ce4b7b6a8603f4c251980824b306be23fb8ad7d6f1cea546c964eac4da20,16,0.9013878188659973,0.9013878188659973,647.8830572945316,0.7000000000000001,62.191650327148665,710.7747076216802,,,10,COMPLETE_ANALYTIC_CP_BUDGET
