tree_hash,internal_nodes,topology,node_index,main_effect,shapley_projected,full_mask_projected_error
450341b92fc9ae28541c07ed1a198239a4d8b01f1b2720960d86e07709df377b,7,comb,6,0.0,0.028764091819315253,0.2013486427352067
97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9,7,balanced,0,0.0,0.009751946661903333,0.03871197621550726
97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9,7,balanced,1,0.0,0.009751946661903333,0.03871197621550726
97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9,7,balanced,2,0.0,0.009751946661903333,0.03871197621550726
97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9,7,balanced,3,0.0,-6.55369223722269e-05,0.03871197621550726
97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9,7,balanced,4,0.0,0.004793605037270845,0.03871197621550726
97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9,7,balanced,5,0.0,0.004793605037270845,0.03871197621550726
97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9,7,balanced,6,0.0,-6.553692237219546e-05,0.03871197621550726
97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9,7,two_branch,0,0.0,0.009751946661903333,0.03871197621550726
97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9,7,two_branch,1,0.0,0.009751946661903333,0.03871197621550726
97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9,7,two_branch,2,0.0,0.009751946661903333,0.03871197621550726
97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9,7,two_branch,3,0.0,-6.55369223722269e-05,0.03871197621550726
97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9,7,two_branch,4,0.0,0.004793605037270845,0.03871197621550726
97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9,7,two_branch,5,0.0,0.004793605037270845,0.03871197621550726
97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9,7,two_branch,6,0.0,-6.553692237219546e-05,0.03871197621550726
9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7,8,comb,0,0.0,0.03310634124999999,0.2648507299999998
9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7,8,comb,1,0.0,0.03310634124999999,0.2648507299999998
9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7,8,comb,2,0.0,0.03310634124999999,0.2648507299999998
9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7,8,comb,3,0.0,0.03310634124999999,0.2648507299999998
9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7,8,comb,4,0.0,0.03310634124999999,0.2648507299999998
9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7,8,comb,5,0.0,0.03310634124999999,0.2648507299999998
9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7,8,comb,6,0.0,0.03310634124999999,0.2648507299999998
9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7,8,comb,7,0.0,0.03310634124999999,0.2648507299999998
d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9,8,balanced,0,0.0,0.014538526132468223,0.06723584999999987
d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9,8,balanced,1,0.0,0.014538526132468223,0.06723584999999987
d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9,8,balanced,2,0.0,0.014538526132468223,0.06723584999999987
d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9,8,balanced,3,0.0,0.014538526132468223,0.06723584999999987
d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9,8,balanced,4,0.0,-0.00011408656368380542,0.06723584999999987
d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9,8,balanced,5,0.0,0.004654959298747279,0.06723584999999987
d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9,8,balanced,6,0.0,0.004654959298747279,0.06723584999999987
d18a6d36d183228618521e28e6971898bb7387d22b68ff47a494258df4de13c9,8,balanced,7,0.0,-0.00011408656368378643,0.06723584999999987
5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363,8,two_branch,0,0.0,0.009719473915785674,0.03851792999999992
5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363,8,two_branch,1,0.0,0.009719473915785674,0.03851792999999992
5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363,8,two_branch,2,0.0,0.009719473915785674,0.03851792999999992
5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363,8,two_branch,3,0.0,-6.529091506918763e-05,0.03851792999999992
5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363,8,two_branch,4,0.0,0.004777690498925211,0.03851792999999992
5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363,8,two_branch,5,0.0,0.004777690498925211,0.03851792999999992
5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363,8,two_branch,6,0.0,-6.529091506917044e-05,0.03851792999999992
5920e491f92232cc138e4f67f308e1de938fed4ed432f2a27d5178b6c2dd1363,8,two_branch,7,0.0,-6.529091506917044e-05,0.03851792999999992
