block,type_count,arity_kind,internal_nodes,dimension_profile,rank_profile,control,scientific_instance_hash,tree_hash,validation,invalid_rejected_before_evaluation,seed_count_required,status
E,3,ternary,10,"(3, 10, 17)","(1, 4, 7)",invalid_edge,a59510ef3ae52497eb1bba61be146a3a04000228f7b1cec45c2582acc1147954,8107c9426a6835f091a85da008097680647c721aff41558aefc2ed8a91b73a10,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,ternary,16,"(3, 10, 17)","(1, 4, 7)",valid,f839ff6ce477a1802049ca78067cfc444821e2d51a69224957d91bea51771d16,0f75913c96dd9dfae3239a853c233a089d589253c11b3bd67539b288f0a80cfd,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,3,ternary,16,"(3, 10, 17)","(1, 4, 7)",invalid_edge,41dfe8b543c2dffa0ce06417f0ec2c0db1b88eb8dc5a0db5bf39064b41beb95b,1c2b584ea692753590d45595ce77d1ef823df217bc6dc3a7900150ac6edca433,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,quaternary,3,"(2, 9, 16)","(1, 4, 7)",valid,409c7a8b0fd63a590cfdd99b3c3f3a6f32dffc1b3a6b846cee72e814e7345675,21b11f7994b4da964d5c6c8020142aace2f2098556eb61925d87a8c1fcedfb3c,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,3,quaternary,3,"(2, 9, 16)","(1, 4, 7)",invalid_edge,5b8c984e45a284f6bc0b1b1d1c04b48bc4579b6e8ee4686859763f7e0b0bb96c,8003a3a22a87f8c2954f13aad62bafde963c97ad406aede098d9a0dc5462ef0c,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,quaternary,6,"(2, 9, 16)","(1, 4, 7)",valid,9ca84d83bb9f8bb3803d353dee0acfaf333bcf009bb962a624fa263821b0eac2,015954acc3c76a8d1acea5bd26fc3d380f0281acd584ad013349ce557eb3c982,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,3,quaternary,6,"(2, 9, 16)","(1, 4, 7)",invalid_edge,8de4337df0230b7d1c6291dafdc1916a37a5fa956b0748ca7435cac55dd466ae,53f282f412b08ffd816db53a0b984308b750ad86591c921a413a51ac9a921f9f,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,quaternary,10,"(3, 10, 17)","(1, 4, 7)",valid,854c5f9a8222147754873b615aff9c6449a9960ef0a686fccfd6fd552f72f7ac,570acf03c4a98e54539d5f0dbf54dbd1c2d48ad825c72f40fd88b43255fb8436,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,3,quaternary,10,"(3, 10, 17)","(1, 4, 7)",invalid_edge,e81a576958e1335a70d1f6f7c21528a840df516a8c058f7c87bce6d11610f3fe,6b95aa286759711c1a5c103e601ee65f2389a01064ee8212685402d7919cf5d5,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,quaternary,16,"(3, 10, 17)","(1, 4, 7)",valid,56c8f9493fa97173e19257cb44a5b191a99cf09046ad9ade9ad4ce6f66d61912,6bd7aa6238f3a1bfa3cef85bcf3c4ccb8691bf5401f3b94946759da3eddf8925,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,3,quaternary,16,"(3, 10, 17)","(1, 4, 7)",invalid_edge,144c570db717f439b64fd1878b6b61ae642c4c4bba27ab721c61f4173e5352cf,d023a23d625680aecf89dd60b41873f53f149c8ed861d5f2c49378c1a6f3c9f0,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,mixed,3,"(2, 9, 16)","(1, 4, 7)",valid,d15a0bce71da0da1d2e5d71dffc04e7ff2422ab32c955624cb4b73ad9e23d4e4,7d7f051d24e5f78599b327fea13a988758266ac516d31bab4b94c9f42a79bc88,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,3,mixed,3,"(2, 9, 16)","(1, 4, 7)",invalid_edge,e80b3a36e009bb33092c1a078e2b10b45a9c3fcd7f0477aa56f591e764da4756,3b2b69278f3b755c60934b4c9688102161e190d067d705283f92dc4c1a4a4c65,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,mixed,6,"(2, 9, 16)","(1, 4, 7)",valid,0f7513f9961073698908a904dff640615d9c26d9b906045e9fce9fa3b935faac,255a7502c56c8e25e91eb22d511c2dc61164e20774e57842145d49238d0497fc,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,3,mixed,6,"(2, 9, 16)","(1, 4, 7)",invalid_edge,33ef0a64f7bc19cb91ec42f6c92805f009b970b5e8912ee11d6b965c4a4800a3,b864e1c13efdd6f6060bf567a1e9ae6eb9ee7513900c659327fd2f1529401fff,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,mixed,10,"(3, 10, 17)","(1, 4, 7)",valid,0275c315694c6c70d6fafde046ed602f30e90fad58916b38d86b35d6bc688b63,479ae664217dcca6f42aaef55cfb82daca5ca3e0f2487ee8ee2c842b75d571a1,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,3,mixed,10,"(3, 10, 17)","(1, 4, 7)",invalid_edge,32a5fbf4f1a45f37c55a5438438e12d370f3e8e3346f883878af9f7a3ec329dc,6d13f7414148a459fa27cf389216cc1a5e4feacfb98d75c05ae0ea00facc372f,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,3,mixed,16,"(3, 10, 17)","(1, 4, 7)",valid,d53b21f786393eefaea0ccc8157ad9d6fddeff9835bd3677b936a12d95e50705,27a38c92fa3401aba9249ba683be8fa3a4f24a7dbc1c5284280eb725898cd808,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,3,mixed,16,"(3, 10, 17)","(1, 4, 7)",invalid_edge,986d3ce068e3cc6c66c3206d5e626debb122ba01be496d8f57105ce24eb7f5bd,085599836a4056f4e9ef19927bde0262c41c0976ce64cfe7ff0018fe12a51526,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,4,binary,3,"(2, 9, 16, 23)","(1, 4, 7, 10)",valid,301e5f8dea29c1fc827033bab38527b13eff636c802711e8bd1b0d10d4923036,3966668682d9476e7c2bb72b85b113e384bbff766530688d971f467602e9d73b,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,4,binary,3,"(2, 9, 16, 23)","(1, 4, 7, 10)",invalid_edge,f69ec5b9fa250dc7576add299490c7fbf571b2683b8a1d80b406d024a1c1a096,7e9238195dd7618ad56149443c360722cffc627eaff0331c8992280fc679ec5c,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,4,binary,6,"(2, 9, 16, 23)","(1, 4, 7, 10)",valid,d3753f7d36e42e75d8dd7031b2c783431b546f2ab4b60dcaa8ec70df49efba6f,6cb8343f4cbbe43d64c2faefe6ae5685a3e9b81ca941d8bad653e466a954a541,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,4,binary,6,"(2, 9, 16, 23)","(1, 4, 7, 10)",invalid_edge,94915f3326f6c7427a1c3ab52abb7b82451a4dcab01a63a01764304e95a8fabf,eb2e5436c60fa2daed705535324be77d0ece628feeefab4b6935434c058c8043,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,4,binary,10,"(3, 10, 17, 24)","(1, 4, 7, 10)",valid,7ce76a14cf4b3fd26f59f93008566e12ea71a21a7d9b09747f9b8735354e1fef,3e1c69827028023ba2cf977513f7c6206870df89e645ddd38007e2747e1a295d,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,4,binary,10,"(3, 10, 17, 24)","(1, 4, 7, 10)",invalid_edge,c7d949711b903f5f2084359cfd1117ee2ec9cc775d88712e81678e3b62c420e2,42c1a828fa70c38a27cfb513f42c6a13a702769d5f08f205abc461fa07a95388,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,4,binary,16,"(3, 10, 17, 24)","(1, 4, 7, 10)",valid,1e1352d03260ab57809f1bc0070492b6b9565bffffa1d349ae28da08d408526b,61f7839f40e5c9364a3dcf20b6136cd5f7fbb1eea8abbd8310cb306f69892b27,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,4,binary,16,"(3, 10, 17, 24)","(1, 4, 7, 10)",invalid_edge,06c0669b0b71758b4de01fa77c641ec520de6e10a36e6c83735ec5092a39accf,42dafc6d3357b393f19ec76ab421914404cf8780e46e990c3dee1797321d1f8f,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,4,ternary,3,"(2, 9, 16, 23)","(1, 4, 7, 10)",valid,b6d4e235e00a34b83339a712201576cd5bdc9262bb00d23b8e7d82842357a6ec,bf88551487432606b58e3a53a75315fd7392bd138a4f7c9df6509283b509da66,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,4,ternary,3,"(2, 9, 16, 23)","(1, 4, 7, 10)",invalid_edge,4401650d6e4034ca416d73654fd94aed0b6a397a2041cee93406a01c66723d57,37e53f3f8567ffe73d276aa05adae910482fb75b65a4fdd0cd6059dff3d0340e,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,4,ternary,6,"(2, 9, 16, 23)","(1, 4, 7, 10)",valid,06c2bb6be0b30e4b8e9606a3b2bd5a08b2411dc9b7f83c43aa7974105e045801,78a543a670f3d4aca865c64fb7311c6baacd63b26385f9de191264ea20504d0a,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,4,ternary,6,"(2, 9, 16, 23)","(1, 4, 7, 10)",invalid_edge,cf82a31797595f6216986b2f317f491a597b4eb2e9b3e256065809cebac393d0,a63f096815be3c10ce685fd3604f3812742b9f24d390b6ff7e634098c0f50d37,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,4,ternary,10,"(3, 10, 17, 24)","(1, 4, 7, 10)",valid,31ecfa0cb93ef0dd7653b2b96874ddd0c390d59814941fee840077560b914218,185752bac69bd26c42cbdfc1ba440f9fb281155c271515f05164d13bbae25a61,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,4,ternary,10,"(3, 10, 17, 24)","(1, 4, 7, 10)",invalid_edge,2187dc46e531764f1f1528e34db18d3a64f38484fc1b2487443a24c9998f129c,8e6899a53dc3678c0c8ce9add769c926c434fa8e4b261111802fa8c0bfe85c05,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,4,ternary,16,"(3, 10, 17, 24)","(1, 4, 7, 10)",valid,d60b07ddb92d6e93886d4c7ed617032fbefe94a811cd5d001427383ea1ab4953,8f99625c5c63958a82752c20713c392dc503246408d800e9c273166787ae41d9,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,4,ternary,16,"(3, 10, 17, 24)","(1, 4, 7, 10)",invalid_edge,8cb07e811a969877f8574d4467791d2db9aca3f942b38abefa61d91cd1c8f7c9,bc280bc6338f60d6385237035ecf43a53a90468c98670d27b311e3e93bbe4190,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,4,quaternary,3,"(2, 9, 16, 23)","(1, 4, 7, 10)",valid,cc7fc843a5452c77ad428f38584d80595d8eabdc1fd71fe4b4abd24615236f41,a905b08485fb19cc8da5e38fa144e564d5a7ee98caa7ccf8fad518f2cf947752,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,4,quaternary,3,"(2, 9, 16, 23)","(1, 4, 7, 10)",invalid_edge,87a5ca072e3c5a5d2bef2219bb4716b417ab99496baca99bfa8e50ff13419106,816d58bef716ecc87b278e7b3415cdc39ad507de110a3d65fb0645ca160c5f57,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,4,quaternary,6,"(2, 9, 16, 23)","(1, 4, 7, 10)",valid,cc2ef2bed149985d0dffca730f165b0a30c8572316f42cda4beeae33f73971fa,a7c1566fe0918d0adf2de1d9e346e17551248e5d498570c9fdd954973fd7589d,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,4,quaternary,6,"(2, 9, 16, 23)","(1, 4, 7, 10)",invalid_edge,6a427c5b25c6467e97db305838d9ce8ddecfeaca66a1b752ee9dea68ad111563,50ae13db537d361f4cf29370d7547a02a280eee3fd762e0b510dd1e97818d96c,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
