block,arity,internal_nodes,topology,eta,dimension,projector_rank,scientific_instance_hash,tree_hash,depth,imbalance,strahler_number,path_length_sum,ambient_lower,ambient_upper,projected_lower,projected_upper,normal_lower,normal_upper,ambient_relative_gap,projected_relative_gap,optimizer_seeds_required,restarts_per_seed_required,optimizer_trajectories_required,optimizer_trajectories_executed_full_core,lower_method,optimizer_status,precision,device,status
B,2,2,maximally_balanced,0.01,2,1,13e173f30f1d71ee5a8132a7ed9b0b1dc7fd0d68eab2823f842a270b2dc611e9,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.999924998593697,2.0,0.009999999999999998,1.0,1.9998999974998748,2.0,3.75007031514496e-05,0.99,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,maximally_balanced,0.05,2,1,b0bb16387142aaf629e7fcb39061aff8322b1156102f2561aa3539b5dea4478b,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9981241202688085,2.0,0.049999999999999996,1.0,1.9974984355438177,2.0,0.0009379398655957605,0.95,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,maximally_balanced,0.1,2,1,1b77cde89c3f709d900f528035f4e4afbd841b884a758bdea25b94497fabcd74,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9924858845171274,2.0,0.09999999999999999,1.0,1.9899748742132397,2.0,0.0037570577414363093,0.9,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,maximally_balanced,0.25,2,1,611ee097ad4c89c8a22e9d6c4dd7fb5ca56597d58807c536a58f25b7e67c0392,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9525624189766635,2.0,0.24999999999999997,1.0,1.9364916731037083,2.0,0.023718790511668253,0.75,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,maximally_balanced,0.5,2,1,35bfe83a646ed8f924fcf5e49ac568ff1bfb0803a0aef7ff16a9f8de88b1befd,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.8027756377319946,2.0,0.49999999999999994,1.0,1.7320508075688772,2.0,0.09861218113400272,0.5,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,maximally_balanced,1.0,2,1,6fee235e75c27bef4d34a8fdf46df0a1e182f33b5c9c5b8937d5f743453f45bd,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.0,2.0,1.0,1.0,0.0,2.0,0.5,0.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,minimally_balanced,1e-08,2,1,5c40c7f76a74da612606bda8c4e346e28c32605f93a3ebdf44082d47f565c4b5,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9999999999999999,2.0,0.0,1.0,0.9999999999999999,2.0,0.5,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,minimally_balanced,1e-07,2,1,43380b799dc7f5d78aea0d51cf38b91d46130b287a97b5e5e49fa490c9f92cd9,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9999999999999949,2.0,0.0,1.0,0.9999999999999949,2.0,0.5000000000000026,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,minimally_balanced,1e-06,2,1,788a8c3b27ff40168962827cf99ff7689e3ba54023383c5b00cb783a9e93239b,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9999999999995,2.0,0.0,1.0,0.9999999999995,2.0,0.50000000000025,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,minimally_balanced,1e-05,2,1,e48ffca0959de54809031f7f872943905421fe7c26a1d871a3a6777bdbdf6162,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.99999999995,2.0,0.0,1.0,0.99999999995,2.0,0.500000000025,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,minimally_balanced,0.0001,2,1,0a396564c5ebb7e39214e55b995a54ece8f2e19be252ca43b96b7cc4ed486d33,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9999999949999999,2.0,0.0,1.0,0.9999999949999999,2.0,0.5000000025,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,minimally_balanced,0.001,2,1,11d8d57e5ccf5cb4d2c5ac9c5121b55169952eb60403b09da36c03251bfeb8f6,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9999994999998749,2.0,0.0,1.0,0.9999994999998749,2.0,0.5000002500000625,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,minimally_balanced,0.01,2,1,45a15fc652e8b8bffd80c86ee714bec1750f544fb8da12d721e6de155142fef5,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9999499987499374,2.0,0.0,1.0,0.9999499987499374,2.0,0.5000250006250313,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,minimally_balanced,0.05,2,1,69d43e7303621453d4776d08f95441780274461883c71329ff4c8ff64c569d1e,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9987492177719088,2.0,0.0,1.0,0.9987492177719088,2.0,0.5006253911140456,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,minimally_balanced,0.1,2,1,641bb14614347451789e5ba447acf2354bc8abd72b059d586bee7f7d2e48a341,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9949874371066199,2.0,0.0,1.0,0.9949874371066199,2.0,0.5025062814466901,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,minimally_balanced,0.25,2,1,d6eff76d815d43f96dc5b304a7e2a5a9452c273854e2449fe5daa9c4d5d9f7f8,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9682458365518541,2.0,0.0,1.0,0.9682458365518541,2.0,0.515877081724073,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,minimally_balanced,0.5,2,1,7ab67ca09f7689529702423cdf6fe6e5a0b1b0d8b72faab0bd4bd7904740c0db,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.8660254037844386,2.0,0.0,1.0,0.8660254037844386,2.0,0.5669872981077807,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,minimally_balanced,1.0,2,1,d6ad241697af48136fb1cc96c2c599226f079a1bb13e1278ee75d9c2c164b204,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,random_ordered,1e-08,2,1,e1451ade097d4a9ad30e996e3c888e2bcc89d087e008e61f8ff1d57af002909a,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9999999999999998,2.0,9.999999999999999e-09,1.0,1.9999999999999998,2.0,1.1102230246251565e-16,0.99999999,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,random_ordered,1e-07,2,1,94d52d3bb60d72c283b2925014d11e99fe26cfb34b2829f137c14abd1ca13e9a,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9999999999999925,2.0,1e-07,1.0,1.9999999999999898,2.0,3.774758283725532e-15,0.9999999,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
