tree_hash,internal_nodes,topology,mask,enabled_nodes,projected_error,ambient_error
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,10,2,0.0,0.099498743710662
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,11,3,0.009949874371066203,0.19824984237068136
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,12,2,0.0,0.0
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,13,3,0.0,0.099
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,14,3,0.0,0.099
c49bc82e43739a6b5ffc5afb296dd7afc32726f99c2bda873e6dccebbd75ee5d,4,two_branch,15,4,0.00990000000000002,0.19725610256719564
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,0,0,0.0,0.0
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,1,1,0.0,0.1
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,2,1,0.0,0.1
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,3,2,0.010000000000000009,0.19924858845171275
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,4,1,0.0,0.1
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,5,2,0.010000000000000009,0.19924858845171275
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,6,2,0.010000000000000009,0.19924858845171275
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,7,3,0.02984962311319861,0.29750126050153136
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,8,1,0.0,0.1
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,9,2,0.010000000000000009,0.19924858845171275
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,10,2,0.010000000000000009,0.19924858845171275
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,11,3,0.02984962311319861,0.29750126050153136
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,12,2,0.010000000000000009,0.19924858845171275
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,13,3,0.02984962311319861,0.29750126050153136
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,14,3,0.02984962311319861,0.29750126050153136
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,15,4,0.05929999999999991,0.3945172366323175
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,16,1,0.0,0.1
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,17,2,0.010000000000000009,0.19924858845171275
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,18,2,0.010000000000000009,0.19924858845171275
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,19,3,0.02984962311319861,0.29750126050153136
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,20,2,0.010000000000000009,0.19924858845171275
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,21,3,0.02984962311319861,0.29750126050153136
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,22,3,0.02984962311319861,0.29750126050153136
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,23,4,0.05929999999999991,0.3945172366323175
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,24,2,0.010000000000000009,0.19924858845171275
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,25,3,0.02984962311319861,0.29750126050153136
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,26,3,0.02984962311319861,0.29750126050153136
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,27,4,0.05929999999999991,0.3945172366323175
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,28,3,0.02984962311319861,0.29750126050153136
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,29,4,0.05929999999999991,0.3945172366323175
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,30,4,0.05929999999999991,0.3945172366323175
87d4d13a9493b3c4bd2c354a70ea108caf18a473310c6bebb43691066c95a332,5,comb,31,5,0.09800626255500189,0.49006005050401735
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,0,0,0.0,0.0
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,1,1,0.0,0.1
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,2,1,0.0,0.1
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,3,2,0.010000000000000009,0.19924858845171275
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,4,1,0.0,0.1
