block,arity,internal_nodes,topology,dimension,requested_rank_ratio,projector_rank,eta,scientific_instance_hash,tree_hash,depth,strahler_number,ambient_lower,ambient_upper,projected_lower,projected_upper,dimension_two_embedded_lower_is_valid,larger_dimension_improvement_certified,seed_count_required,seed_evaluations_executed_full_core,optimizer_status,status
C,2,3,comb,8,0.125,1,0.1,d5d7e64c6eba28c9a504009cd4ad69ef3a864eec1cda2842c3a669a698739140,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.975012605015313,3.0,0.298496231131986,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,8,0.125,1,0.5,f5fde699cdae0279ba86d1abcddd5956140087777d9f1c3931ba24dd55d6bd60,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.384848003542364,3.0,1.2990381056766578,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,8,0.25,2,0.0001,dc06f7e0bd743b8bab453c1cd9935cc0ef04fb48311408b46768bad95b7ad4ab,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.9999999749999997,3.0,0.0002999999985,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,8,0.25,2,0.01,e4cb359d8b9fa415bf25cea5186a6c64316d11fbfb098d34d62afa8da118fd3a,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.999750001250104,3.0,0.029998499962498124,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,8,0.25,2,0.1,349ba1dd079d102e58a223267797399919ced86eb8b82a47077ce009aaadfc62,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.975012605015313,3.0,0.298496231131986,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,8,0.25,2,0.5,9c985b2ae603523ac249700d2dcd94781249b5ad4afde91e025d02ce24846d09,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.384848003542364,3.0,1.2990381056766578,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,8,0.5,4,0.0001,967fc8b5dd535a113870cdb98fcb2063e713c9527fc9b3e2d07d4994012fa228,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.9999999749999997,3.0,0.0002999999985,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,8,0.5,4,0.01,1a9e42f6d44616442b76a1a2a8300165162dd66df0a33894f3d3e27018c16aa5,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.999750001250104,3.0,0.029998499962498124,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,8,0.5,4,0.1,cc7454a3819e846b1e8fb125affa0f970c7b3e2ff5d5247f7be18fc2f9d22051,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.975012605015313,3.0,0.298496231131986,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,8,0.5,4,0.5,d3cb1795fb44ca36e788e97c7a137a99ca517a5a5be93ba98e5a7fdd0774ab87,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.384848003542364,3.0,1.2990381056766578,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
