scientific_instance_hash,tree_hash,bound_family,bound,ratio_to_homogeneous
c722590d8e1320371f522a1e7bd238f96227c659286814cad57a01236e4e2477,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,8.101297270879688e-06,1.0
c722590d8e1320371f522a1e7bd238f96227c659286814cad57a01236e4e2477,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,3.0742466774173763e-06,0.3794758511661869
c722590d8e1320371f522a1e7bd238f96227c659286814cad57a01236e4e2477,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,3.0742466774173763e-06,0.3794758511661869
c722590d8e1320371f522a1e7bd238f96227c659286814cad57a01236e4e2477,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,4.874534959835085e-06,0.6016980733884091
c722590d8e1320371f522a1e7bd238f96227c659286814cad57a01236e4e2477,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,3.0742466774173763e-06,0.3794758511661869
480124b3051e9725aa725ea8530f4bf9a7b87dde9cc26eee2ffe9cffd3694b9c,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.00375,1.0
480124b3051e9725aa725ea8530f4bf9a7b87dde9cc26eee2ffe9cffd3694b9c,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.0012525,0.334
480124b3051e9725aa725ea8530f4bf9a7b87dde9cc26eee2ffe9cffd3694b9c,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.0012525,0.334
480124b3051e9725aa725ea8530f4bf9a7b87dde9cc26eee2ffe9cffd3694b9c,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.0012537499999999999,0.3343333333333333
480124b3051e9725aa725ea8530f4bf9a7b87dde9cc26eee2ffe9cffd3694b9c,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.0012525,0.334
b3a19c2e60fe89fb9a638ebe505b8743353b1496e54bc118a00e979a2147a94b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.00375,1.0
b3a19c2e60fe89fb9a638ebe505b8743353b1496e54bc118a00e979a2147a94b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.00250125,0.667
b3a19c2e60fe89fb9a638ebe505b8743353b1496e54bc118a00e979a2147a94b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.00250125,0.667
b3a19c2e60fe89fb9a638ebe505b8743353b1496e54bc118a00e979a2147a94b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.00375125,1.0003333333333333
