experiment_id,resolved_config_hash,mathematical_object_hash,input_artifact_hash,seed,precision,backend,device,implementation_version,run_id,status,failure_reason,run_path,method,closure_leakage,principal_angle_radians,projector_rank,runtime_seconds,ram_peak_bytes,vram_peak_bytes,convergence_status,failure_count
V2_PROJECTOR_RECOVERY,93bbf08da1ad000ab8723e286451d5250bbb64e064e37de9b75fd1fd5c061d62,f884779741cd6ab6fb6bf0d639bfe188b68934d9e427ef1849457f223ab21203,aca3b84ac17248dd01e4cf36cf4e7e862b6ca95977bb556f1ee0d885b0f652d4,3,float64,numpy,cpu,research_v2.1,v2_projector_recovery_bd34ec5957de8bcf,complete,,artifacts\runs_v2\v2_projector_recovery_bd34ec5957de8bcf,pca,0.0008220437264759333,0.03221771886242153,2,0.004731900000479072,6288,0,complete,0
V2_PROJECTOR_RECOVERY,b0c8a13cd3919b04d01537efdaed15503d4137d6ddb606a546b71970f6c88057,f884779741cd6ab6fb6bf0d639bfe188b68934d9e427ef1849457f223ab21203,aca3b84ac17248dd01e4cf36cf4e7e862b6ca95977bb556f1ee0d885b0f652d4,3,float64,numpy,cpu,research_v2.1,v2_projector_recovery_2c60fd6f00e3181a,complete,,artifacts\runs_v2\v2_projector_recovery_2c60fd6f00e3181a,svd,0.0008609577258783376,0.029254006196412455,2,0.0044398000463843346,6288,0,complete,0
V2_PROJECTOR_RECOVERY,613f8991f766b9739dd0c9a6a6bd1f8dd946e947a378e87adf8180ef95273d60,f884779741cd6ab6fb6bf0d639bfe188b68934d9e427ef1849457f223ab21203,aca3b84ac17248dd01e4cf36cf4e7e862b6ca95977bb556f1ee0d885b0f652d4,3,float64,numpy,cpu,research_v2.1,v2_projector_recovery_de8982a5c1d3ca86,complete,,artifacts\runs_v2\v2_projector_recovery_de8982a5c1d3ca86,spectral,0.0031236603982858786,0.036678514118319835,2,0.005370600032620132,6288,0,complete,0
V2_PROJECTOR_RECOVERY,cffe2ad89f9ec2057f38b14278e78a0c1b46503875a2ab05076d97a5edb7e4fb,f884779741cd6ab6fb6bf0d639bfe188b68934d9e427ef1849457f223ab21203,aca3b84ac17248dd01e4cf36cf4e7e862b6ca95977bb556f1ee0d885b0f652d4,3,float64,numpy,cpu,research_v2.1,v2_projector_recovery_8b1e2e57f5451fa6,complete,,artifacts\runs_v2\v2_projector_recovery_8b1e2e57f5451fa6,closure_minimizing,0.019596379223620806,0.13697167307768382,2,0.0046657000202685595,6288,0,complete,0
V2_PROJECTOR_RECOVERY,73344649f17a5a4848ec6bfd7226aa8597010b61ad1677d33934a0cb3f76b7ab,3e4105c16f02fa93cb554824b5e08f6ed2297f567a340621c4bd12604fa494aa,7bf99f19140fad816641133613525a1a11504e274cfb50bc51f404756b2fe059,4,float64,numpy,cpu,research_v2.1,v2_projector_recovery_69f1aa32e4a5df22,complete,,artifacts\runs_v2\v2_projector_recovery_69f1aa32e4a5df22,known_invariant,0.001484935809333994,0.0,2,0.006712000002153218,6288,0,complete,0
V2_PROJECTOR_RECOVERY,ad14ad52351d9c9bc0b14266150e90baaf87a8d4e584e1a7c1927e4d942493f2,3e4105c16f02fa93cb554824b5e08f6ed2297f567a340621c4bd12604fa494aa,7bf99f19140fad816641133613525a1a11504e274cfb50bc51f404756b2fe059,4,float64,numpy,cpu,research_v2.1,v2_projector_recovery_0569baa0fbdaad59,complete,,artifacts\runs_v2\v2_projector_recovery_0569baa0fbdaad59,random,0.39057523839812025,1.246639318581135,2,0.0043803000007756054,6288,0,complete,0
V2_PROJECTOR_RECOVERY,93bbf08da1ad000ab8723e286451d5250bbb64e064e37de9b75fd1fd5c061d62,3e4105c16f02fa93cb554824b5e08f6ed2297f567a340621c4bd12604fa494aa,7bf99f19140fad816641133613525a1a11504e274cfb50bc51f404756b2fe059,4,float64,numpy,cpu,research_v2.1,v2_projector_recovery_0993fb1110b00931,complete,,artifacts\runs_v2\v2_projector_recovery_0993fb1110b00931,pca,0.0012779201401875752,0.009989203512446254,2,0.005147999967448413,6288,0,complete,0
V2_PROJECTOR_RECOVERY,b0c8a13cd3919b04d01537efdaed15503d4137d6ddb606a546b71970f6c88057,3e4105c16f02fa93cb554824b5e08f6ed2297f567a340621c4bd12604fa494aa,7bf99f19140fad816641133613525a1a11504e274cfb50bc51f404756b2fe059,4,float64,numpy,cpu,research_v2.1,v2_projector_recovery_eda2416b3d095986,complete,,artifacts\runs_v2\v2_projector_recovery_eda2416b3d095986,svd,0.001271703648590026,0.010315361985464705,2,0.005181299988180399,6288,0,complete,0
V2_PROJECTOR_RECOVERY,613f8991f766b9739dd0c9a6a6bd1f8dd946e947a378e87adf8180ef95273d60,3e4105c16f02fa93cb554824b5e08f6ed2297f567a340621c4bd12604fa494aa,7bf99f19140fad816641133613525a1a11504e274cfb50bc51f404756b2fe059,4,float64,numpy,cpu,research_v2.1,v2_projector_recovery_485e8b590e9210bd,complete,,artifacts\runs_v2\v2_projector_recovery_485e8b590e9210bd,spectral,0.004317182964050743,0.053629847029559696,2,0.005924600001890212,6288,0,complete,0
V2_PROJECTOR_RECOVERY,cffe2ad89f9ec2057f38b14278e78a0c1b46503875a2ab05076d97a5edb7e4fb,3e4105c16f02fa93cb554824b5e08f6ed2297f567a340621c4bd12604fa494aa,7bf99f19140fad816641133613525a1a11504e274cfb50bc51f404756b2fe059,4,float64,numpy,cpu,research_v2.1,v2_projector_recovery_2b7d4e094542503b,complete,,artifacts\runs_v2\v2_projector_recovery_2b7d4e094542503b,closure_minimizing,0.004509411161221066,0.11128156247623193,2,0.005423099966719747,6288,0,complete,0
