extremizer_id,tree_hash,eta,dimension,projector_rank,construction,error_type,certified_ratio_lower,certified_ratio_upper,tensor_formula,status
c2ca59112b59a0c6097307673cfec74fdea409de6934aaf1c42865be735359ff,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,1.0,3,2,gated_planar_rotation_embedded,ambient,1.0,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
c2ca59112b59a0c6097307673cfec74fdea409de6934aaf1c42865be735359ff,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,1.0,3,2,gated_planar_rotation_embedded,projected,0.0,0.0,rotation_tensor,CERTIFIED_LOWER_BOUND
c2ca59112b59a0c6097307673cfec74fdea409de6934aaf1c42865be735359ff,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,1.0,3,2,gated_planar_rotation_embedded,normal,1.0,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
e11094502158352baacfc16ed45532e113f884a268e9c8e424bdc8dfe1161c87,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.001,2,1,gated_planar_rotation_embedded,ambient,0.9999994999998749,0.9999994999998749,rotation_tensor,CERTIFIED_LOWER_BOUND
e11094502158352baacfc16ed45532e113f884a268e9c8e424bdc8dfe1161c87,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.001,2,1,gated_planar_rotation_embedded,projected,0.0,3.4211388289180104e-45,rotation_tensor,CERTIFIED_LOWER_BOUND
e11094502158352baacfc16ed45532e113f884a268e9c8e424bdc8dfe1161c87,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.001,2,1,gated_planar_rotation_embedded,normal,0.9999994999998749,0.9999994999998749,rotation_tensor,CERTIFIED_LOWER_BOUND
412c9a569e449b560ef109210ac11b68419bac4c88b91083a0a12d1c09907a07,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.001,3,1,gated_planar_rotation_embedded,ambient,0.9999994999998749,0.9999994999998749,rotation_tensor,CERTIFIED_LOWER_BOUND
412c9a569e449b560ef109210ac11b68419bac4c88b91083a0a12d1c09907a07,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.001,3,1,gated_planar_rotation_embedded,projected,0.0,3.4211388289180104e-45,rotation_tensor,CERTIFIED_LOWER_BOUND
412c9a569e449b560ef109210ac11b68419bac4c88b91083a0a12d1c09907a07,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.001,3,1,gated_planar_rotation_embedded,normal,0.9999994999998749,0.9999994999998749,rotation_tensor,CERTIFIED_LOWER_BOUND
792b406c83145c37910c9b85644dccfd9c1d5a281b62fbc495691027bbcddba0,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.001,3,2,gated_planar_rotation_embedded,ambient,0.9999994999998749,0.9999994999998749,rotation_tensor,CERTIFIED_LOWER_BOUND
792b406c83145c37910c9b85644dccfd9c1d5a281b62fbc495691027bbcddba0,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.001,3,2,gated_planar_rotation_embedded,projected,0.0,3.4211388289180104e-45,rotation_tensor,CERTIFIED_LOWER_BOUND
792b406c83145c37910c9b85644dccfd9c1d5a281b62fbc495691027bbcddba0,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.001,3,2,gated_planar_rotation_embedded,normal,0.9999994999998749,0.9999994999998749,rotation_tensor,CERTIFIED_LOWER_BOUND
6df107c9e22cff06cd676155f1b0ece939a2986be3a903090d7c18ca870a9206,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.01,2,1,gated_planar_rotation_embedded,ambient,0.9999499987499374,0.9999499987499374,rotation_tensor,CERTIFIED_LOWER_BOUND
6df107c9e22cff06cd676155f1b0ece939a2986be3a903090d7c18ca870a9206,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.01,2,1,gated_planar_rotation_embedded,projected,0.0,2.0526832973508063e-46,rotation_tensor,CERTIFIED_LOWER_BOUND
6df107c9e22cff06cd676155f1b0ece939a2986be3a903090d7c18ca870a9206,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.01,2,1,gated_planar_rotation_embedded,normal,0.9999499987499374,0.9999499987499374,rotation_tensor,CERTIFIED_LOWER_BOUND
f9b223be45e0390438a1d4e9bcf19c7edf413e2afd763d55f2c4e2da94934e3a,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.01,3,1,gated_planar_rotation_embedded,ambient,0.9999499987499374,0.9999499987499374,rotation_tensor,CERTIFIED_LOWER_BOUND
f9b223be45e0390438a1d4e9bcf19c7edf413e2afd763d55f2c4e2da94934e3a,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.01,3,1,gated_planar_rotation_embedded,projected,0.0,2.0526832973508063e-46,rotation_tensor,CERTIFIED_LOWER_BOUND
f9b223be45e0390438a1d4e9bcf19c7edf413e2afd763d55f2c4e2da94934e3a,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.01,3,1,gated_planar_rotation_embedded,normal,0.9999499987499374,0.9999499987499374,rotation_tensor,CERTIFIED_LOWER_BOUND
4698297ada352dc77e103adc001196549969c4f044da8637f10bce3f47200c4c,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.01,3,2,gated_planar_rotation_embedded,ambient,0.9999499987499374,0.9999499987499374,rotation_tensor,CERTIFIED_LOWER_BOUND
4698297ada352dc77e103adc001196549969c4f044da8637f10bce3f47200c4c,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.01,3,2,gated_planar_rotation_embedded,projected,0.0,2.0526832973508063e-46,rotation_tensor,CERTIFIED_LOWER_BOUND
4698297ada352dc77e103adc001196549969c4f044da8637f10bce3f47200c4c,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.01,3,2,gated_planar_rotation_embedded,normal,0.9999499987499374,0.9999499987499374,rotation_tensor,CERTIFIED_LOWER_BOUND
e3f1c9d23a77be9ccf10cfd89aa12e84a207098574c12c70dce63e8e1bf51961,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.1,2,1,gated_planar_rotation_embedded,ambient,0.9949874371066199,0.9949874371066199,rotation_tensor,CERTIFIED_LOWER_BOUND
e3f1c9d23a77be9ccf10cfd89aa12e84a207098574c12c70dce63e8e1bf51961,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.1,2,1,gated_planar_rotation_embedded,projected,0.0,3.4211388289180104e-47,rotation_tensor,CERTIFIED_LOWER_BOUND
