key,new_vs_harvest,score,red_flag,families,via,title,year,authors,venue,doi,openalex,cited_by,abstract
10.1090/s0002-9947-03-03136-2,True,2,False,I,forward:10.1006/jmaa.1997.5202,Accelerating the convergence of the method of alternating projections,2003,Heinz H. Bauschke; Frank Deutsch; Hein Hundal; Sung-Ho Park,Transactions of the American Mathematical Society,10.1090/s0002-9947-03-03136-2,https://openalex.org/W2008925030,88,"The powerful von Neumann-Halperin method of alternating projections (MAP) is an algorithm for determining the best approximation to any given point in a Hilbert space from the intersection of a finite number of subspaces. It achieves this by reducing the problem to an iterative scheme which involves only computing best approximations from the individual subspaces which make up the intersection. The main practical drawback of this algorithm, at least for some applications, is that the method is slowly convergent. In this paper, we consider a general class of iterative methods which includes the MAP as a special case. For such methods, we study an “accelerated” version of this algorithm that was considered earlier by Gubin, Polyak, and Raik (1967) and by Gearhart and Koshy (1989). We show that the accelerated algorithm converges faster than the MAP in the case of two subspaces, but is, in general, not faster than the MAP for more than two subspaces! However, for a “symmetric” version of the MAP, the accelerated algorithm always converges faster for any number of subspaces. Our proof seems to require the use of the Spectral Theorem for selfadjoint mappings."
10.1080/01630569808816822,True,2,False,I,forward:10.1006/jmaa.1997.5202,Quadratic optimization of fixed points of nonexpansive mappings in hubert space,1998,Isao Yamada; Nobuhiko Ogura; Kohichi Sakaniwa,Numerical Functional Analysis and Optimization,10.1080/01630569808816822,https://openalex.org/W2014913012,75,"Finding an optimal point in the intersection of the fixed point sets of a family of nonexpansive mappings is a frequent problem in various areas of mathematical science and engineering. Let be nonexpansive mappings on a Hilbert space H, and let be a quadratic function defined by for all , where is a strongly positive bounded self-adjoint linear operator. Then, for each sequence of scalar parameters (λn) satisfying certain conditions, we propose an algorithm that generates a sequence converting strongly to a unique minimizer u* of Θ over the intersection of the fixed point sets of all the Ti’s. This generalizes some results of Halpern (1967), Lions (1977), Wittmann (1992), and Bauschke (1996). In particular, the minimization of Θ over the intersection of closed convex sets Ci can be handled by taking Ti to the metric projection onto Ci without introducing any special inner products that depends on A. We also propose an algorithm that generates a sequence converging to a unique minimizer of Θ over , where K is a given closed convex set and for positive weights . This is applicable to the inconsistent case as well."
10.1007/s00041-012-9248-z,True,2,False,I,forward:10.1006/jmaa.1997.5202,Two-Subspace Projection Method for Coherent Overdetermined Systems,2012,Deanna Needell; Rachel Ward,Journal of Fourier Analysis and Applications,10.1007/s00041-012-9248-z,https://openalex.org/W2121485651,67,
10.1016/j.jmaa.2004.12.050,True,2,False,I,forward:10.1006/jmaa.1997.5202,On the rate of convergence of the alternating projection method in finite dimensional spaces,2005,Aurél Galántai,Journal of Mathematical Analysis and Applications,10.1016/j.jmaa.2004.12.050,https://openalex.org/W2020004242,55,
10.1016/j.jat.2008.04.001,True,2,False,I,forward:10.1006/jmaa.1997.5202,The rate of convergence for the cyclic projections algorithm III: Regularity of convex sets,2008,Frank Deutsch; Hein Hundal,Journal of Approximation Theory,10.1016/j.jat.2008.04.001,https://openalex.org/W2002110362,49,
10.1111/j.1475-3995.2008.00682.x,True,2,False,I,forward:10.1006/jmaa.1997.5202,Characterizing arbitrarily slow convergence in the method of alternating projections,2009,Heinz H. Bauschke; Frank Deutsch; Hein Hundal,International Transactions in Operational Research,10.1111/j.1475-3995.2008.00682.x,https://openalex.org/W2594309699,42,"Abstract Bauschke, Borwein, and Lewis have stated a trichotomy theorem that characterizes when the convergence of the method of alternating projections can be arbitrarily slow. However, there are two errors in their proof of this theorem. In this note, we show that although one of the errors is critical, the theorem itself is correct. We give a different proof that uses the multiplicative form of the spectral theorem, and the theorem holds in any real or complex Hilbert space, not just in a real Hilbert space."
10.1007/s00365-013-9213-3,True,2,False,I,forward:10.1006/jmaa.1997.5202,Alternating Projections on Nontangential Manifolds,2013,Фредрик Андерссон; Marcus Carlsson,Constructive Approximation,10.1007/s00365-013-9213-3,https://openalex.org/W2074065373,39,
anewprojectionmethodforfindingtheclosestpointintheintersectionofconvexsets,True,2,False,I,forward:10.1006/jmaa.1997.5202,A new projection method for finding the closest point in the intersection of convex sets,2018,Francisco J. Aragón Artacho; Rubén Campoy,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),,https://openalex.org/W3102480021,29,
10.1007/s10589-017-9942-5,True,2,False,I,forward:10.1006/jmaa.1997.5202,A new projection method for finding the closest point in the intersection of convex sets,2017,Francisco J. Aragón Artacho; Rubén Campoy,Computational Optimization and Applications,10.1007/s10589-017-9942-5,https://openalex.org/W2406804067,23,
10.1007/s10107-019-01437-5,True,2,False,I,forward:10.1006/jmaa.1997.5202,Worst-case complexity of cyclic coordinate descent: $$O(n^2)$$ gap with randomized version,2019,Ruoyu Sun; Yinyu Ye,Mathematical Programming,10.1007/s10107-019-01437-5,https://openalex.org/W2979298859,22,
10.1016/s1570-579x(01)80013-6,True,2,False,I,forward:10.1006/jmaa.1997.5202,Accelerating the Convergence of the Method of Alternating Projections Via a Line Search: a Brief Survey,2001,Frank Deutsch,Studies in computational mathematics,10.1016/s1570-579x(01)80013-6,https://openalex.org/W1561390504,18,
